# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
TNFRSF11A	chr18|240 (-117547), chr18|241 (+132453)
TNFRSF21	chr6|190 (-97360)
TNFSF10	chr3|690 (-133704)
TNFSF13B	chr13|436 (-47065)
TNFSF15	chr9|470 (+193405)
TNIK	chr3|685 (+53196)
TNKS2	chr10|375 (+66932)
TNN	chr1|701 (+88007)
TNNI1	chr1|806 (+15873)
TNPO1	chr5|289 (+12862)
TNPO3	chr7|515 (+69967)
TNR	chr1|705 (-412095), chr1|701 (+587905)
TNRC6A	chr16|99 (-116033)
TNRC6B	chr22|162 (-198928), chr22|163 (+51072)
TNRC6C	chr17|302 (-626136), chr17|304 (-126136)
TNS1	chr2|876 (-66150)
TNS4	chr17|155 (+32848)
TOB1	chr17|197 (-181295)
TOMM20	chr1|941 (+167250), chr1|940 (+417250)
TOMM20L	chr14|236 (+12367)
TOMM40	chr19|182 (-19492)
TOMM5	chr9|151 (-32408)
TOMM70A	chr3|401 (-4759)
TOP1	chr20|158 (-282457), chr20|159 (-32457)
TOPBP1	chr3|534 (+5736)
TOR1AIP1	chr1|720 (+23554)
TOR3A	chr1|717 (+74489)
TOX	chr8|239 (+406766)
TOX2	chr20|170 (-168491)
TP53BP2	chr1|897 (-91327)
TP53I11	chr11|181 (-153290), chr11|180 (+96710)
TP53TG3B	chr16|134 (+113486)
TPCN2	chr11|277 (+308636)
TPD52	chr8|326 (-381950), chr8|325 (-131950)
TPD52L1	chr6|502 (-99801)
TPGS2	chr18|140 (-465843), chr18|138 (+34157), chr18|137 (+284157)
TPM1	chr15|253 (-209883), chr15|254 (+40117)
TPP2	chr13|413 (-124352)
TPPP3	chr16|270 (+50855)
TPRKB	chr2|296 (+89512)
TPRX2P	chr19|194 (+37300)
TPST1	chr7|263 (-45185), chr7|264 (+204815), chr7|265 (+454815)
TPX2	chr20|122 (+47927)
TRA2B	chr3|743 (+30923)
TRABD2A	chr2|341 (-16632)
TRAF3	chr14|414 (+131188)
TRAF3IP2	chr6|449 (-197552), chr6|448 (+52448)
TRAF3IP3	chr1|840 (-56842)
TRAF4	chr17|109 (+53999)
TRAF5	chr1|847 (+124822)
TRAFD1	chr12|451 (+61652)
TRAK1	chr3|169 (-7561)
TRAM1	chr8|286 (+145603)
TRAM2	chr6|210 (+66712)
TRANK1	chr3|148 (+111547)
TRAPPC2P1	chr19|232 (+122)
TRAPPC3L	chr6|468 (-8228)
TRAPPC4	chr11|476 (-14141)
TRAPPC6B	chr14|159 (+14525)
TRAPPC8	chr18|118 (+148062)
TRIM13	chr13|202 (-196172)
TRIM14	chr9|404 (+6479)
TRIM23	chr5|260 (+45472)
TRIM24	chr7|553 (-20078)
TRIM28	chr19|237 (+8656)
TRIM29	chr11|479 (+384160)
TRIM42	chr3|563 (+228120)
TRIM43	chr2|385 (-132765)
TRIM47	chr17|296 (-345)
TRIM62	chr1|135 (+22266)
TRIM67	chr1|925 (-173715)
TRIM69	chr15|181 (+103815)
TRIM71	chr3|132 (+15491)
TRIM9	chr14|207 (-62222)
TRIOBP	chr22|153 (+31990)
TRMT10A	chr4|402 (+109824)
TRMT11	chr6|506 (+67425), chr6|507 (+317425)
TRMT13	chr1|403 (+26282)
TRMT1L	chr1|741 (+1112)
TRMT5	chr14|247 (-176925)
TRMU	chr22|188 (+143679)
TRNAU1AP	chr1|116 (-4596)
TRPA1	chr8|293 (-137149)
TRPC1	chr3|570 (-67915)
TRPC3	chr4|492 (-2092)
TRPC4	chr13|156 (-431062)
TRPC7	chr5|547 (-923776)
TRPM3	chr9|293 (+611513)
TRPM6	chr9|311 (-121991)
TRPS1	chr8|471 (-943773)
TRPV5	chr7|571 (+5904)
TRPV6	chr7|571 (-41494)
TSC22D1	chr13|182 (-224300), chr13|181 (+25700)
TSC22D2	chr3|600 (-251121), chr3|601 (-1121)
TSEN15	chr1|737 (+104190), chr1|739 (+604190)
TSHR	chr14|327 (+203614)
TSHZ1	chr18|293 (+202291)
TSHZ2	chr20|204 (-713945)
TSLP	chr5|441 (-282389), chr5|442 (-32389)
TSN	chr2|491 (+111892)
TSPAN1	chr1|187 (-15758)
TSPAN14	chr10|330 (+161079)
TSPAN18	chr11|179 (-160975), chr11|180 (+89025)
TSPEAR	chr21|185 (+6494)
TSPYL1	chr6|467 (-23935)
TSPYL5	chr8|395 (-334825)
TSPYL6	chr2|219 (-141592), chr2|218 (+108408)
TSSK1B	chr5|451 (+145727), chr5|450 (+395727)
TSSK2	chr22|77 (+6680)
TSSK3	chr1|132 (+47203)
TST	chr22|150 (+40507)
TSTD2	chr9|402 (+20856)
TTC1	chr5|638 (-61119)
TTC21B	chr2|668 (-64648)
TTC26	chr7|556 (+56477)
TTC27	chr2|131 (-228128), chr2|132 (+21872)
TTC28	chr22|117 (-49148)
TTC3	chr21|155 (+171105)
TTC30A	chr2|716 (-391307)
TTC32	chr2|81 (-23254)
TTC37	chr5|380 (+15710)
TTC39A	chr1|208 (-64213)
TTC7A	chr2|190 (+206688)
TTC8	chr14|358 (+83995), chr14|359 (+333995), chr14|360 (+583995)
TTF1	chr9|542 (-92792)
TTLL11	chr9|500 (-19116), chr9|499 (+230884), chr9|498 (+480884)
TTLL12	chr22|175 (-41862)
TTLL4	chr2|879 (+49403)
TTLL5	chr14|305 (-2620), chr14|306 (+247380)
TTLL6	chr17|188 (+19575)
TTLL8	chr22|202 (+120363)
TTN	chr2|718 (+297149)
TTPAL	chr20|173 (+20473)
TTR	chr18|117 (-46688)
TUBA3D	chr2|528 (-358665), chr2|529 (-108665)
TUBA8	chr22|75 (+31442)
TUBD1	chr17|232 (+95295)
TUBGCP6	chr22|203 (+57992)
TXN	chr9|452 (+143919), chr9|451 (+393919)
TXN2	chr22|148 (+3076)
TXNDC15	chr5|537 (-84492)
TXNDC16	chr14|212 (+144223)
TXNDC8	chr9|453 (-24913)
TXNL1	chr18|220 (-569125), chr18|219 (-319125), chr18|218 (-69125)
TXNRD1	chr12|419 (+15444)
TYW1	chr7|267 (+163199), chr7|268 (+413199)
TYW5	chr2|805 (-304542), chr2|804 (-54542)
UACA	chr15|285 (-69069), chr15|284 (+180931)
UBA3	chr3|277 (+4558)
UBA5	chr3|530 (-3309)
UBAC2	chr13|400 (+21973)
UBC	chr12|502 (+24893)
UBE2A	chrX|475 (-83500)
UBE2D1	chr10|241 (+30266)
UBE2F	chr2|956 (-596)
UBE2F-SCLY	chr2|956 (-716)
UBE2H	chr7|518 (+217788)
UBE2Q2	chr15|305 (-10625)
UBE2V2	chr8|199 (+704041)
UBE2W	chr8|300 (-83857)
UBL4B	chr1|443 (-30061)
UBN2	chr7|556 (-41230)
UBP1	chr3|134 (+106869)
UBQLN1	chr9|346 (-51883)
UBQLN2	chrX|227 (+34975), chrX|228 (+284975)
UBXN2B	chr8|238 (+51178)
UBXN4	chr2|546 (-124188)
UCHL3	chr13|305 (+1074)
UCP1	chr4|567 (-135042)
UCP3	chr11|296 (-154521)
UFL1	chr6|388 (-94683)
UFM1	chr13|156 (-49017)
UFSP2	chr4|746 (-27862)
UGCG	chr9|459 (-34045), chr9|460 (+215955)
UGGT1	chr2|516 (+26116)
UGGT2	chr13|387 (+80636), chr13|386 (+330636)
UGP2	chr2|256 (-193843), chr2|257 (+56157)
ULK1	chr12|530 (-4195)
ULK4	chr3|169 (-121079)
UMODL1	chr21|175 (+133575)
UMPS	chr3|498 (-74212)
UNC119	chr17|108 (+4685)
UNC5B	chr10|292 (-97326)
UPB1	chr22|100 (-16027)
UPK1B	chr3|476 (-17364)
UPK3A	chr22|183 (-55862)
UPK3B	chr7|305 (-14744)
URB2	chr1|920 (+113020), chr1|921 (+363020)
UROD	chr1|183 (+147182)
USO1	chr4|307 (-25003)
USP11	chrX|189 (+32687)
USP13	chr3|718 (+4458)
USP18	chr22|75 (-7665)
USP21	chr1|645 (-4253)
USP24	chr1|223 (+55785)
USP35	chr11|313 (+225048)
USP36	chr17|308 (-38032)
USP37	chr2|878 (+58083)
USP38	chr4|576 (-231097), chr4|577 (+18903)
USP39	chr2|344 (+31692)
USP44	chr12|385 (-179735), chr12|384 (+70265)
USP51	chrX|223 (-109366)
USP53	chr4|481 (-35370)
UST	chr6|595 (-443463), chr6|597 (+56537), chr6|599 (+556537)
UTP14C	chr13|211 (+26174)
UTP15	chr5|292 (+13435)
UTP18	chr17|198 (+37112)
UTP23	chr8|472 (+96259)
UVRAG	chr11|303 (+98789), chr11|304 (+348789)
UXS1	chr2|428 (-64206)
VAC14	chr16|284 (-39937)
VANGL2	chr1|642 (+4625)
VASH1	chr14|308 (-353531), chr14|309 (-103531), chr14|310 (+146469)
VASH2	chr1|853 (+1024)
VAT1L	chr16|312 (+52574)
VAX2	chr2|285 (-2719)
VDAC1	chr5|534 (-34177)
VDAC3	chr8|170 (+125580)
VEZT	chr12|383 (+13479)
VIL1	chr2|878 (+91186)
VIT	chr2|148 (-48832), chr2|149 (+201168)
VKORC1L1	chr7|261 (-213253), chr7|262 (+36747)
VMP1	chr17|232 (+90175)
VPS26A	chr10|284 (-8267)
VPS33B	chr15|367 (-59168)
VPS4B	chr18|245 (-35305)
VPS54	chr2|257 (+121205)
VPS8	chr3|738 (-154930), chr3|740 (+345070)
VRK1	chr14|389 (-138640)
VRK3	chr19|203 (-95798)
VRTN	chr14|300 (+59885)
VSIG1	chrX|429 (-163199)
VSIG2	chr11|499 (-2867)
VSTM5	chr11|375 (-41304)
VSX1	chr20|101 (-62005)
VTI1B	chr14|273 (+16547)
WAPAL	chr10|354 (-93429)
WARS2	chr1|479 (+58293)
WASF1	chr6|442 (+126206)
WASL	chr7|494 (+14120)
WBP2NL	chr22|170 (-19791)
WBP5	chrX|411 (+13628)
WBSCR22	chr7|293 (+27045)
WBSCR28	chr7|294 (+99512)
WDFY2	chr13|209 (-33643), chr13|210 (+216357)
WDFY3	chr4|346 (-487457), chr4|344 (+12543), chr4|343 (+262543)
WDFY4	chr10|200 (-42750)
WDHD1	chr14|222 (+118794)
WDR26	chr1|899 (-3000)
WDR3	chr1|475 (+152610)
WDR35	chr2|81 (+64891)
WDR4	chr21|177 (+174664)
WDR44	chrX|470 (-105071)
WDR45B	chr17|323 (-18590)
WDR48	chr3|157 (+31512)
WDR59	chr16|300 (+144045)
WDR61	chr15|315 (-32865)
WDR75	chr2|762 (+68842)
WDR92	chr2|274 (+9691)
WDSUB1	chr2|642 (-231898), chr2|641 (+18102), chr2|640 (+268102)
WEE2	chr7|566 (-33152)
WFDC1	chr16|338 (+46749)
WFDC2	chr20|177 (+26655)
WFIKKN2	chr17|196 (-37770)
WIPF1	chr2|703 (-125694), chr2|702 (+124306)
WIPF2	chr17|154 (-573)
WIPI1	chr17|266 (+78561)
WISP3	chr6|450 (-461)
WNK2	chr9|385 (+177789)
WNK3	chrX|218 (+9437), chrX|217 (+259437)
WNT1	chr12|198 (+2603)
WNT11	chr11|304 (+42575), chr11|303 (+292575)
WNT2	chr7|468 (+88342), chr7|467 (+338342)
WNT2B	chr1|453 (+73601)
WNT3	chr17|180 (+21125)
WNT5A	chr3|226 (-851028), chr3|223 (-101028), chr3|222 (+148972)
WNT7B	chr22|186 (-1992), chr22|185 (+248008)
WNT8A	chr5|550 (-44773)
WNT8B	chr10|409 (-97797)
WNT9A	chr1|913 (+10598)
WSB1	chr17|103 (+3895)
WTIP	chr19|141 (+152458)
WWC1	chr5|672 (+155846)
WWP1	chr8|350 (+20034)
WWP2	chr16|280 (+78792)
WWTR1	chr3|598 (+46059)
XDH	chr2|129 (-487420)
XKR4	chr8|226 (+360052), chr8|227 (+610052)
XKR8	chr1|114 (+89028)
XKR9	chr8|287 (+43401)
XPO1	chr2|248 (-109583)
XPO6	chr16|113 (+98189)
XPOT	chr12|258 (-423129), chr12|259 (-173129)
XPR1	chr1|723 (+23861), chr1|724 (+273861)
XRCC2	chr7|610 (-1751)
XRCC4	chr5|330 (+1589)
XRCC5	chr2|869 (+152814)
XRCC6BP1	chr12|234 (+39641), chr12|235 (+289641)
XRN1	chr3|569 (+41903)
XRRA1	chr11|299 (+35231)
XYLB	chr3|154 (-13269)
XYLT2	chr17|194 (-48452)
YAF2	chr12|171 (+7037)
YAP1	chr11|409 (+143809)
YARS2	chr12|132 (+33835)
YEATS2	chr3|734 (-40605)
YIPF5	chr5|573 (+425222), chr5|572 (+675222)
YPEL2	chr17|230 (-34062), chr17|231 (+215938)
YPEL4	chr11|230 (+42416)
YTHDC1	chr4|277 (+90806)
YTHDC2	chr5|452 (+25621)
YTHDF3	chr8|257 (+43880)
ZADH2	chr18|292 (+46302), chr18|291 (+296302), chr18|290 (+546302)
ZBED3	chr5|306 (+8147)
ZBTB10	chr8|325 (-272901), chr8|326 (-22901), chr8|327 (+227099)
ZBTB11	chr3|406 (+21338)
ZBTB18	chr1|978 (+160416)
ZBTB2	chr6|607 (+87682)
ZBTB20	chr3|457 (-22513)
ZBTB24	chr6|440 (-70561)
ZBTB34	chr9|519 (-16626)
ZBTB37	chr1|696 (+37508)
ZBTB38	chr3|565 (+18347)
ZBTB41	chr1|789 (+44671)
ZBTB43	chr9|519 (+57707)
ZBTB44	chr11|521 (+59580)
ZBTB7C	chr18|183 (+66936)
ZBTB8B	chr1|132 (-55669)
ZC3H12A	chr1|152 (-65152)
ZC3H14	chr14|357 (+95748)
ZC3H15	chr2|750 (+24118)
ZC3H4	chr19|191 (-7992)
ZC3H6	chr2|453 (+91830)
ZCCHC10	chr5|530 (-12705)
ZCCHC12	chrX|472 (-82752)
ZCCHC13	chrX|292 (-649024), chrX|293 (-399024)
ZCCHC14	chr16|351 (-99350)
ZCCHC18	chrX|414 (+16198)
ZCCHC2	chr18|241 (-65239), chr18|242 (+184761)
ZCCHC24	chr10|325 (+80382)
ZCCHC8	chr12|492 (+110517)
ZCCHC9	chr5|323 (+27579)
ZDBF2	chr2|829 (-14386)
ZDHHC17	chr12|309 (-32367)
ZDHHC22	chr14|311 (-16867)
ZDHHC23	chr3|455 (-41747)
ZDHHC7	chr16|340 (+170107)
ZFAND1	chr8|331 (+8534)
ZFAND4	chr10|185 (+42795)
ZFAND6	chr15|322 (+23091)
ZFHX3	chr16|293 (-42727), chr16|291 (+457273)
ZFHX4	chr8|312 (+281547)
ZFP14	chr19|148 (-4900)
ZFP30	chr19|153 (+21312)
ZFP36L1	chr14|278 (-115044)
ZFP36L2	chr2|173 (+328747)
ZFP37	chr9|464 (-56005)
ZFP64	chr20|204 (-66476), chr20|203 (+183524)
ZFP90	chr16|275 (+51885)
ZFP91-CNTF	chr11|234 (+28356)
ZFYVE16	chr5|319 (-78831)
ZFYVE9	chr1|211 (+16955)
ZHX1	chr8|498 (-88266), chr8|497 (+161734)
ZHX2	chr8|496 (+81368)
ZHX3	chr20|160 (+53717)
ZIC5	chr13|403 (-838), chr13|402 (+249162)
ZKSCAN2	chr16|102 (-105749)
ZMAT2	chr5|561 (+45082)
ZMAT5	chr22|121 (+37968)
ZMIZ1	chr10|320 (-953791), chr10|321 (-703791), chr10|323 (-203791), chr10|324 (+46209)
ZMYM1	chr1|143 (+80009)
ZMYND12	chr1|172 (+46937)
ZMYND8	chr20|185 (-139587), chr20|184 (+110413), chr20|183 (+360413)
ZNF112	chr19|180 (-14169)
ZNF124	chr1|990 (-39683)
ZNF131	chr5|173 (+3301)
ZNF134	chr19|233 (-618)
ZNF135	chr19|235 (+54394)
ZNF14	chr19|80 (-31095)
ZNF140	chr12|535 (-31423)
ZNF148	chr3|501 (-30803)
ZNF157	chrX|189 (-104981)
ZNF169	chr9|388 (-146592), chr9|389 (+103408)
ZNF2	chr2|384 (+43818)
ZNF217	chr20|210 (-164623)
ZNF225	chr19|179 (+7490)
ZNF234	chr19|179 (-20758)
ZNF236	chr18|298 (-161115), chr18|299 (+88885)
ZNF248	chr10|153 (+21537)
ZNF250	chr8|585 (+1845)
ZNF267	chr16|128 (-10078)
ZNF268	chr12|536 (+42953)
ZNF277	chr7|448 (+28358)
ZNF280A	chr22|92 (-388)
ZNF281	chr1|801 (+254183)
ZNF282	chr7|596 (-17576)
ZNF283	chr19|178 (+43557)
ZNF285	chr19|180 (+30754)
ZNF292	chr6|352 (+9734)
ZNF30	chr19|142 (-42806)
ZNF300	chr5|602 (-90456)
ZNF32	chr10|180 (-730849), chr10|177 (+19151)
ZNF320	chr19|214 (+25812)
ZNF326	chr1|362 (-85673)
ZNF330	chr4|569 (-17040)
ZNF337	chr20|103 (+42592)
ZNF366	chr5|287 (+178553)
ZNF382	chr19|149 (+28780)
ZNF397	chr18|131 (-196000)
ZNF398	chr7|596 (+30433)
ZNF404	chr19|178 (+13115)
ZNF407	chr18|290 (+32025), chr18|291 (+282025), chr18|292 (+532025)
ZNF420	chr19|151 (+55619)
ZNF423	chr16|200 (-18351)
ZNF428	chr19|177 (-975)
ZNF433	chr19|49 (+21524)
ZNF449	chrX|539 (+146280)
ZNF461	chr19|149 (+32738)
ZNF468	chr19|214 (-14129)
ZNF469	chr16|353 (-368878), chr16|354 (-118878)
ZNF484	chr9|383 (+15217)
ZNF485	chr10|177 (+23146)
ZNF488	chr10|194 (+19977)
ZNF496	chr1|990 (+120044)
ZNF497	chr19|236 (-881)
ZNF503	chr10|309 (+36663)
ZNF506	chr19|80 (+57559)
ZNF516	chr18|298 (-167855), chr18|297 (+82145), chr18|296 (+332145), chr18|294 (+832145)
ZNF521	chr18|95 (-692885), chr18|89 (+807115)
ZNF525	chr19|216 (+6055)
ZNF528	chr19|212 (-26120)
ZNF532	chr18|226 (-154831), chr18|227 (+95169)
ZNF547	chr19|232 (+67)
ZNF564	chr19|51 (+37342)
ZNF571	chr19|153 (-39329)
ZNF573	chr19|154 (-110610)
ZNF574	chr19|171 (+50483)
ZNF577	chr19|210 (+16203)
ZNF585A	chr19|151 (+38614)
ZNF587	chr19|234 (+13776)
ZNF599	chr19|142 (-110881)
ZNF608	chr5|498 (-293883), chr5|497 (-43883), chr5|496 (+206117)
ZNF616	chr19|211 (+18169)
ZNF618	chr9|466 (-263561), chr9|467 (-13561)
ZNF621	chr3|163 (+58625), chr3|165 (+558625)
ZNF629	chr16|124 (-76478)
ZNF638	chr2|287 (+66107)
ZNF644	chr1|366 (+112029)
ZNF648	chr1|729 (-94154), chr1|728 (+155846)
ZNF652	chr17|190 (+64834)
ZNF653	chr19|47 (-8263)
ZNF672	chr1|997 (-7478)
ZNF674	chrX|186 (+29875)
ZNF678	chr1|911 (-126243), chr1|912 (+123757)
ZNF684	chr1|165 (+127768)
ZNF691	chr1|174 (+62694)
ZNF695	chr1|989 (+46357)
ZNF701	chr19|213 (+51084)
ZNF704	chr8|328 (-87985), chr8|327 (+162015)
ZNF709	chr19|51 (-29358)
ZNF710	chr15|363 (+80377)
ZNF720	chr16|127 (-99554), chr16|128 (+150446)
ZNF746	chr7|598 (-180103)
ZNF750	chr17|324 (-76547)
ZNF763	chr19|49 (+49132)
ZNF765	chr19|216 (-23402)
ZNF775	chr7|601 (+48577)
ZNF777	chr7|597 (+33213)
ZNF778	chr16|358 (+90883)
ZNF780A	chr19|163 (-28156)
ZNF782	chr9|399 (-8231)
ZNF783	chr7|597 (+165739)
ZNF784	chr19|225 (+10966)
ZNF787	chr19|227 (+7648)
ZNF800	chr7|509 (-92256)
ZNF814	chr19|234 (+25404)
ZNF827	chr4|588 (-15378), chr4|587 (+234622)
ZNF83	chr19|213 (+15338)
ZNF831	chr20|231 (-141074)
ZNF84	chr12|535 (+10835)
ZNF841	chr19|211 (-25983)
ZNF860	chr3|129 (+101735)
ZNF865	chr19|225 (+8230)
ZNF880	chr19|212 (+1797)
ZNF92	chr7|261 (+286289)
ZNFX1	chr20|192 (+19755)
ZNRF1	chr16|301 (+92073)
ZRANB3	chr2|544 (+413805)
ZSCAN18	chr19|235 (+4792)
ZSCAN2	chr15|338 (-769235), chr15|339 (-519235), chr15|340 (-269235), chr15|341 (-19235)
ZSCAN20	chr1|136 (-63245)
ZSCAN30	chr18|132 (-4805)
ZSWIM5	chr1|183 (+47227)
ZSWIM6	chr5|243 (-3099)
ZW10	chr11|455 (+19532)
ZXDB	chrX|230 (-243268)
ZXDC	chr3|505 (+69761)
ZZZ3	chr1|313 (+23342)

